Player,Team,Season,Appearances,SeasonAtTeam
Wojciech Szczesny,Arsenal,2013,25,5
Lukasz Fabianski,Arsenal,2013,4,7
Vito Mannone,Arsenal,2013,9,9
Emiliano Martínez,Arsenal,2013,0,2
James Shea,Arsenal,2013,0,4
Bacary Sagna,Arsenal,2013,25,6
Per Mertesacker,Arsenal,2013,34,2
Thomas Vermaelen,Arsenal,2013,29,4
Laurent Koscielny,Arsenal,2013,25,3
André Santos,Arsenal,2013,8,2
Nacho Monreal,Arsenal,2013,10,1
Sébastien Squillaci,Arsenal,2013,0,3
Carl Jenkinson,Arsenal,2013,14,2
Kieran Gibbs,Arsenal,2013,27,7
Martin Angha,Arsenal,2013,0,1
Héctor Bellerín,Arsenal,2013,0,1
Daniel Boateng,Arsenal,2013,0,3
Sead Hajrovic,Arsenal,2013,0,2
Jernade Meade,Arsenal,2013,0,2
Ignasi Miquel,Arsenal,2013,1,3
Elton Monteiro,Arsenal,2013,0,1
Nico Yennaris,Arsenal,2013,0,3
Jordan Wynter,Arsenal,2013,0,1
Tomas Rosicky,Arsenal,2013,10,7
Mikel Arteta,Arsenal,2013,34,2
Jack Wilshere,Arsenal,2013,25,6
Theo Walcott,Arsenal,2013,32,8
Denilson,Arsenal,2013,0,8
Alex Oxlade-Chamberlain,Arsenal,2013,25,2
Aaron Ramsey,Arsenal,2013,36,5
Santiago Cazorla,Arsenal,2013,38,1
Francis Coquelin,Arsenal,2013,11,5
Andrey Arshavin,Arsenal,2013,7,6
Abou Diaby,Arsenal,2013,11,9
Chuks Aneke,Arsenal,2013,0,3
Emmanuel Frimpong,Arsenal,2013,0,5
Ryo Miyaichi,Arsenal,2013,0,3
Thomas Eisfeld,Arsenal,2013,0,2
Craig Eastmond,Arsenal,2013,0,6
Serge Gnabry,Arsenal,2013,1,1
Conor Henderson,Arsenal,2013,0,5
Wellington,Arsenal,2013,0,3
Joel Campbell,Arsenal,2013,0,2
Philip Roberts,Arsenal,2013,0,1
Lukas Podolski,Arsenal,2013,33,1
Olivier Giroud,Arsenal,2013,34,1
Nicklas Bendtner,Arsenal,2013,0,9
Gervinho,Arsenal,2013,18,2
Marouane Chamakh,Arsenal,2013,0,3
Park Chu-Young,Arsenal,2013,0,2
Benik Afobe,Arsenal,2013,0,3
Chuba Akpom,Arsenal,2013,0,2
Zak Ansah,Arsenal,2013,0,1
Sanchez Watt,Arsenal,2013,0,6
Johan Djourou,Arsenal,2013,0,9
Henri Lansbury,Arsenal,2013,0,7
Alexandre Song,Arsenal,2013,0,7
Samuel Galindo,Arsenal,2013,0,4
Brad Guzan,Aston Villa,2013,36,5
Andy Marshall,Aston Villa,2013,0,4
Shay Given,Aston Villa,2013,2,2
Benjamin Siegrist,Aston Villa,2013,0,1
Alan Hutton,Aston Villa,2013,0,3
Nathan Baker,Aston Villa,2013,26,6
Joe Bennett,Aston Villa,2013,25,1
Ron Vlaar,Aston Villa,2013,27,1
Richard Dunne,Aston Villa,2013,0,5
Ciaran Clark,Aston Villa,2013,29,5
Eric Lichaj,Aston Villa,2013,17,6
Matthew Lowton,Aston Villa,2013,37,1
Derrick Williams,Aston Villa,2013,1,2
Enda Stevens,Aston Villa,2013,7,2
Charles N'Zogbia,Aston Villa,2013,21,2
Karim El Ahmadi,Aston Villa,2013,20,1
Marc Albrighton,Aston Villa,2013,9,5
Ashley Westwood,Aston Villa,2013,30,1
Fabian Delph,Aston Villa,2013,24,5
Jean Makoun,Aston Villa,2013,0,3
Chris Herd,Aston Villa,2013,9,6
Yacouba Sylla,Aston Villa,2013,11,1
Gary Gardner,Aston Villa,2013,2,4
Simon Dawkins,Aston Villa,2013,0,0
Samir Carruthers,Aston Villa,2013,0,2
Daniel Johnson,Aston Villa,2013,0,3
Stephen Ireland,Aston Villa,2013,13,3
Jack Grealish,Aston Villa,2013,0,3
Barry Bannan,Aston Villa,2013,24,5
Graham Burke,Aston Villa,2013,0,2
Andreas Weimann,Aston Villa,2013,30,4
Gabriel Agbonlahor,Aston Villa,2013,28,9
Brett Holman,Aston Villa,2013,27,1
Christian Benteke,Aston Villa,2013,34,1
Jordan Bowery,Aston Villa,2013,10,1
Nathan Delfouneso,Aston Villa,2013,1,6
Darren Bent,Aston Villa,2013,16,3
Stiliyan Petrov,Aston Villa,2013,0,7
Stephen Warnock,Aston Villa,2013,0,4
Matej Delac,Chelsea,2013,0,3
Petr Cech,Chelsea,2013,72,9
Ross Turnbull,Chelsea,2013,3,5
Henrique Hilario,Chelsea,2013,0,8
Sam Walker,Chelsea,2013,0,3
Jamal Blackman,Chelsea,2013,0,3
Andreas Christensen,Chelsea,2013,0,2
Branislav Ivanovic,Chelsea,2013,34,7
Ashley Cole,Chelsea,2013,31,8
David Luiz,Chelsea,2013,30,4
Paulo Ferreira,Chelsea,2013,2,10
Gary Cahill,Chelsea,2013,26,2
John Terry,Chelsea,2013,14,16
Sam Hutchinson,Chelsea,2013,0,7
César Azpilicueta,Chelsea,2013,27,1
Tomas Kalas,Chelsea,2013,0,3
Ryan Bertrand,Chelsea,2013,19,8
Patrick van Aanholt,Chelsea,2013,0,7
Jeffrey Bruma,Chelsea,2013,0,4
Billy Clifford,Chelsea,2013,0,3
Rohan Ince,Chelsea,2013,0,2
Todd Kane,Chelsea,2013,0,1
George Saville,Chelsea,2013,0,1
Nathan Aké,Chelsea,2013,3,1
Thorgan Hazard,Chelsea,2013,0,1
Ulises Dávila,Chelsea,2013,0,2
Michael Essien,Chelsea,2013,0,8
Oriol Romeu,Chelsea,2013,6,2
Ramires,Chelsea,2013,35,3
Frank Lampard,Chelsea,2013,29,13
Juan Mata,Chelsea,2013,35,2
Oscar,Chelsea,2013,34,1
John Obi Mikel,Chelsea,2013,22,8
Victor Moses,Chelsea,2013,1,1
Florent Malouda,Chelsea,2013,0,7
Josh McEachran,Chelsea,2013,0,3
Marko Marin,Chelsea,2013,6,1
Lucas Piazon,Chelsea,2013,1,2
Yossi Benayoun,Chelsea,2013,0,3
Gaël Kakuta,Chelsea,2013,0,5
Nathaniel Chalobah,Chelsea,2013,0,3
Fernando Torres,Chelsea,2013,36,3
Eden Hazard,Chelsea,2013,34,1
Romelu Lukaku,Chelsea,2013,0,2
Demba Ba,Chelsea,2013,20,1
Milan Lalkovic,Chelsea,2013,0,3
Archange Nkumu,Chelsea,2013,0,1
Conor Clifford,Chelsea,2013,0,3
Ben Gordon,Chelsea,2013,0,4
Daniel Sturridge,Chelsea,2013,7,4
Adam Coombes,Chelsea,2013,0,3
Patrick Bamford,Chelsea,2013,0,2
Raul Meireles,Chelsea,2013,3,2
Thibaut Courtois,Chelsea,2013,0,2
Lewis Baker,Chelsea,2013,0,1
Ruben Loftus-Cheek,Chelsea,2013,0,1
Ján Mucha,Everton,2013,2,3
Tim Howard,Everton,2013,36,7
Mason Springthorpe,Everton,2013,0,3
Tony Hibbert,Everton,2013,6,13
Leighton Baines,Everton,2013,38,6
John Heitinga,Everton,2013,26,4
Phil Jagielka,Everton,2013,36,6
Bryan Oviedo,Everton,2013,15,1
Sylvain Distin,Everton,2013,34,4
Seamus Coleman,Everton,2013,26,5
John Stones,Everton,2013,0,1
Luke Garbutt,Everton,2013,0,4
Shane Duffy,Everton,2013,1,5
Tyias Browning,Everton,2013,0,1
Jake Bidwell,Everton,2013,0,4
Darron Gibson,Everton,2013,23,2
Kevin Mirallas,Everton,2013,27,1
