Player,Team,Season,Appearances,SeasonAtTeam
Mark Howard,Arsenal,2006,0,1
Michael Jordan,Arsenal,2006,0,2
Graham Stack,Arsenal,2006,0,6
Manuel Almunia,Arsenal,2006,0,2
Jens Lehmann,Arsenal,2006,38,3
Mart Poom,Arsenal,2006,0,2
Vito Mannone,Arsenal,2006,0,1
Ryan Garry,Arsenal,2006,0,5
Lauren,Arsenal,2006,22,6
Sol Campbell,Arsenal,2006,20,5
Ashley Cole,Arsenal,2006,11,8
Kolo Touré,Arsenal,2006,33,5
Philippe Senderos,Arsenal,2006,20,3
Pascal Cygan,Arsenal,2006,12,4
Johan Djourou,Arsenal,2006,7,2
Gaël Clichy,Arsenal,2006,7,3
Armand Traore,Arsenal,2006,0,1
Justin Hoyte,Arsenal,2006,0,4
Matthew Connolly,Arsenal,2006,0,1
Kerrea Gilbert,Arsenal,2006,2,4
Gilberto Silva,Arsenal,2006,33,4
José Antonio Reyes,Arsenal,2006,26,3
Ryan Smith,Arsenal,2006,0,3
Alexandre Song,Arsenal,2006,5,1
Cesc Fàbregas,Arsenal,2006,35,3
Robert Pires,Arsenal,2006,33,6
Fredrik Ljungberg,Arsenal,2006,25,8
Alyaksandr Hleb,Arsenal,2006,25,1
Theo Walcott,Arsenal,2006,0,1
Mathieu Flamini,Arsenal,2006,31,2
Abou Diaby,Arsenal,2006,12,1
Emmanuel Eboué,Arsenal,2006,18,2
Sebastian Larsson,Arsenal,2006,3,2
Fabrice Muamba,Arsenal,2006,0,1
Anthony Stokes,Arsenal,2006,0,1
Jérémie Aliadière,Arsenal,2006,0,7
Dennis Bergkamp,Arsenal,2006,24,11
Robin van Persie,Arsenal,2006,24,2
Carlos Vela,Arsenal,2006,0,1
Thierry Henry,Arsenal,2006,32,7
Nicklas Bendtner,Arsenal,2006,0,1
Emmanuel Adebayor,Arsenal,2006,13,1
Arturo Lupoli,Arsenal,2006,1,2
Quincy Owusu-Abeyie,Arsenal,2006,4,3
David Bentley,Arsenal,2006,0,5
Patrick Cregg,Arsenal,2006,0,2
Thomas Sørensen,Aston Villa,2006,36,3
Stuart Taylor,Aston Villa,2006,2,1
Bobby Olejnik,Aston Villa,2006,0,3
Ulises de la Cruz,Aston Villa,2006,7,4
Mark Delaney,Aston Villa,2006,12,8
Jlloyd Samuel,Aston Villa,2006,19,8
Wilfred Bouma,Aston Villa,2006,20,1
Olof Mellberg,Aston Villa,2006,27,5
Martin Laursen,Aston Villa,2006,1,2
Aaron Hughes,Aston Villa,2006,35,1
Liam Ridgewell,Aston Villa,2006,32,5
Gary Cahill,Aston Villa,2006,7,2
Craig Gardner,Aston Villa,2006,8,1
Peter Whittingham,Aston Villa,2006,4,4
Gareth Barry,Aston Villa,2006,36,9
Lee Hendrie,Aston Villa,2006,16,12
Gavin McCann,Aston Villa,2006,32,3
James Milner,Aston Villa,2006,3,1
Steven Davis,Aston Villa,2006,35,3
