Player,Team,Season,Appearances,SeasonAtTeam
Manuel Almunia,Arsenal,2010,29,6
Wojciech Szczesny,Arsenal,2010,0,2
Lukasz Fabianski,Arsenal,2010,4,3
Vito Mannone,Arsenal,2010,5,5
James Shea,Arsenal,2010,0,1
Pedro Botelho,Arsenal,2010,0,3
Bacary Sagna,Arsenal,2010,35,3
Thomas Vermaelen,Arsenal,2010,33,1
Philippe Senderos,Arsenal,2010,0,7
William Gallas,Arsenal,2010,26,4
Mikaël Silvestre,Arsenal,2010,12,2
Johan Djourou,Arsenal,2010,1,6
Gaël Clichy,Arsenal,2010,24,7
Kieran Gibbs,Arsenal,2010,3,4
Armand Traore,Arsenal,2010,9,5
Sol Campbell,Arsenal,2010,11,6
Kyle Bartley,Arsenal,2010,0,3
Tom Cruise,Arsenal,2010,0,3
Cedric Evina,Arsenal,2010,0,1
Kerrea Gilbert,Arsenal,2010,0,8
Gavin Hoyte,Arsenal,2010,0,4
Luke Ayling,Arsenal,2010,0,3
Håvard Nordtveit,Arsenal,2010,0,3
Rene Steer,Arsenal,2010,0,2
Henri Lansbury,Arsenal,2010,1,4
Samuel Galindo,Arsenal,2010,0,1
Cesc Fàbregas,Arsenal,2010,27,7
Tomas Rosicky,Arsenal,2010,25,4
Samir Nasri,Arsenal,2010,26,2
Jack Wilshere,Arsenal,2010,1,2
Theo Walcott,Arsenal,2010,23,5
Denilson,Arsenal,2010,20,4
Aaron Ramsey,Arsenal,2010,18,2
Alexandre Song,Arsenal,2010,26,4
Francis Coquelin,Arsenal,2010,0,2
Andrey Arshavin,Arsenal,2010,30,2
Abou Diaby,Arsenal,2010,29,5
Emmanuel Frimpong,Arsenal,2010,0,2
Emmanuel Eboué,Arsenal,2010,25,6
Fran Mérida,Arsenal,2010,4,4
Nacer Barazite,Arsenal,2010,0,4
Jay Emmanuel-Thomas,Arsenal,2010,0,2
Craig Eastmond,Arsenal,2010,4,3
Mark Randall,Arsenal,2010,0,4
Conor Henderson,Arsenal,2010,0,2
Eduardo da Silva,Arsenal,2010,24,3
Robin van Persie,Arsenal,2010,16,6
Carlos Vela,Arsenal,2010,11,5
Nicklas Bendtner,Arsenal,2010,23,5
Luke Freeman,Arsenal,2010,0,3
Rhys Murphy,Arsenal,2010,0,2
Jay Simpson,Arsenal,2010,0,4
Gilles Sunu,Arsenal,2010,0,3
Sanchez Watt,Arsenal,2010,0,3
Brad Friedel,Aston Villa,2010,38,2
Brad Guzan,Aston Villa,2010,0,2
Andy Marshall,Aston Villa,2010,0,1
Elliot Parish,Aston Villa,2010,0,2
Stephen O'Halloran,Aston Villa,2010,0,4
Arsenio Halfhuid,Aston Villa,2010,0,2
Luke Young,Aston Villa,2010,16,2
Nathan Baker,Aston Villa,2010,0,2
Wilfred Bouma,Aston Villa,2010,0,5
Stephen Warnock,Aston Villa,2010,1,1
Richard Dunne,Aston Villa,2010,2,1
James Collins,Aston Villa,2010,0,1
Ciaran Clark,Aston Villa,2010,1,2
Curtis Davies,Aston Villa,2010,2,2
Nicky Shorey,Aston Villa,2010,3,2
Habib Beye,Aston Villa,2010,6,1
Carlos Cuellar,Aston Villa,2010,36,2
Eric Lichaj,Aston Villa,2010,0,3
Shane Lowry,Aston Villa,2010,0,3
Moustapha Salifou,Aston Villa,2010,0,3
Steve Sidwell,Aston Villa,2010,25,2
Stewart Downing,Aston Villa,2010,25,1
Ashley Young,Aston Villa,2010,37,4
James Milner,Aston Villa,2010,36,2
Marc Albrighton,Aston Villa,2010,3,2
Fabian Delph,Aston Villa,2010,8,1
Chris Herd,Aston Villa,2010,0,3
Stiliyan Petrov,Aston Villa,2010,37,4
Nigel Reo-Coker,Aston Villa,2010,10,3
Gary Gardner,Aston Villa,2010,0,1
Isaiah Osbourne,Aston Villa,2010,0,4
Jonathan Hogg,Aston Villa,2010,0,1
Barry Bannan,Aston Villa,2010,0,2
Harry Forrester,Aston Villa,2010,0,3
Marlon Harewood,Aston Villa,2010,0,3
Andreas Weimann,Aston Villa,2010,0,1
John Carew,Aston Villa,2010,33,4
Gabriel Agbonlahor,Aston Villa,2010,36,6
Emile Heskey,Aston Villa,2010,31,2
Nathan Delfouneso,Aston Villa,2010,9,2
Craig Gardner,Aston Villa,2010,1,5
Artur Krysiak,Birmingham City,2010,0,2
Maik Taylor,Birmingham City,2010,2,5
Colin Doyle,Birmingham City,2010,0,5
Joe Hart,Birmingham City,2010,0,0
Jared Wilson,Birmingham City,2010,0,1
Graham Hutchison,Birmingham City,2010,0,1
Stephen Carr,Birmingham City,2010,35,1
David Murphy,Birmingham City,2010,0,2
Roger Johnson,Birmingham City,2010,38,1
