Player,Team,Season,Appearances,SeasonAtTeam
Wojciech Szczesny,Arsenal,2017,0,9
David Ospina,Arsenal,2017,2,2
Petr Cech,Arsenal,2017,35,2
Matt Macey,Arsenal,2017,0,3
Mathieu Debuchy,Arsenal,2017,1,3
Kieran Gibbs,Arsenal,2017,11,11
Per Mertesacker,Arsenal,2017,1,6
Gabriel,Arsenal,2017,19,2
Laurent Koscielny,Arsenal,2017,33,7
Nacho Monreal,Arsenal,2017,36,5
Calum Chambers,Arsenal,2017,1,2
Héctor Bellerín,Arsenal,2017,33,5
Carl Jenkinson,Arsenal,2017,1,6
Tomas Rosicky,Arsenal,2017,0,11
Mikel Arteta,Arsenal,2017,0,6
Jack Wilshere,Arsenal,2017,2,11
Mesut Özil,Arsenal,2017,33,4
Alex Oxlade-Chamberlain,Arsenal,2017,29,6
Aaron Ramsey,Arsenal,2017,23,9
Santiago Cazorla,Arsenal,2017,8,5
Mathieu Flamini,Arsenal,2017,0,9
Serge Gnabry,Arsenal,2017,0,5
Francis Coquelin,Arsenal,2017,29,9
Mohamed El Neny,Arsenal,2017,14,2
Ismael Bennacer,Arsenal,2017,0,2
Krystian Bielik,Arsenal,2017,0,2
Alex Iwobi,Arsenal,2017,26,4
Ben Sheaf,Arsenal,2017,0,2
Chris Willock,Arsenal,2017,0,2
Olivier Giroud,Arsenal,2017,29,5
Theo Walcott,Arsenal,2017,28,12
Alexis Sánchez,Arsenal,2017,38,3
Yaya Sanogo,Arsenal,2017,0,4
Danny Welbeck,Arsenal,2017,16,3
Joel Campbell,Arsenal,2017,0,6
Jeff Reine-Adélaïde,Arsenal,2017,0,2
Granit Xhaka,Arsenal,2017,32,1
Lucas Pérez,Arsenal,2017,11,1
Shkodran Mustafi,Arsenal,2017,26,1
Rob Holding,Arsenal,2017,9,1
Ainsley Maitland-Niles,Arsenal,2017,1,3
